day,tick,v7_total,v7_pepper,v7_osmium,v8_total,v8_pepper,v8_osmium
-1,357000,20216,18916,1300,29191,27891,1300
-1,358000,20312,18652,1660,28911,27251,1660
-1,359000,20238,18904,1334,29105,27771,1334
-1,360000,20550,19220,1330,29821,28491,1330
-1,361000,20483,19153,1330,29661,28331,1330
-1,362000,20345,19159,1186,29477,28291,1186
-1,363000,20412,19192,1220,29591,28371,1220
-1,364000,20427,19225,1202,29653,28451,1202
-1,365000,20202,19456,746,29757,29011,746
-1,366000,20548,19266,1282,29773,28491,1282
-1,367000,20588,19306,1282,29853,28571,1282
-1,368000,20548,19466,1082,29973,28891,1082
-1,369000,21185,19476,1709,30560,28851,1709
-1,370000,20807,19453,1354,30165,28811,1354
-1,371000,20916,19568,1348,30359,29011,1348
-1,372000,20962,19614,1348,30439,29091,1348
-1,373000,21154,19768,1386,30676,29291,1386
-1,374000,21027,19754,1273,30524,29251,1273
-1,375000,20998,19800,1198,30529,29331,1198
-1,376000,21119,19846,1273,30684,29411,1273
-1,377000,21193,19920,1273,30764,29491,1273
-1,378000,21246,19973,1273,30844,29571,1273
-1,379000,21262,20026,1236,30886,29651,1236
-1,380000,21194,20158,1036,30887,29851,1036
-1,381000,21486,20450,1036,31327,30291,1036
-1,382000,21142,20106,1036,30807,29771,1036
-1,383000,21442,20248,1194,31165,29971,1194
-1,384000,22463,20308,2155,32206,30051,2155
-1,385000,21167,19972,1195,30606,29411,1195
-1,386000,21507,20392,1115,31326,30211,1115
-1,387000,21629,20434,1195,31486,30291,1195
-1,388000,21591,20476,1115,31486,30371,1115
-1,389000,21593,20518,1075,31526,30451,1075
-1,390000,21470,20514,955,31366,30411,955
-1,391000,21826,20710,1115,31846,30731,1115
-1,392000,21648,20612,1035,31606,30571,1035
-1,393000,21770,20735,1035,31806,30771,1035
-1,394000,21692,20858,835,31806,30971,835
-1,395000,21708,20833,875,31806,30931,875
-1,397000,21886,20931,955,32046,31091,955
-1,398000,21895,20980,915,32086,31171,915
-1,399000,22345,21470,875,32846,31971,875
-1,400000,21920,21004,915,32126,31211,915
-1,401000,21677,20882,795,31806,31011,795
-1,402000,22056,21302,755,32366,31611,755
-1,403000,22308,21273,1035,32606,31571,1035
-1,404000,22365,21330,1035,32686,31651,1035
-1,405000,22422,21387,1035,32766,31731,1035
-1,406000,22519,21444,1075,32886,31811,1075
-1,407000,22411,21216,1195,32686,31491,1195
-1,408000,22853,21578,1275,33246,31971,1275
-1,409000,23006,21730,1275,33446,32171,1275
-1,410000,22975,21700,1275,33406,32131,1275
-1,411000,23036,21761,1275,33486,32211,1275
-1,412000,23097,21822,1275,33566,32291,1275
-1,413000,23078,21883,1195,33566,32371,1195
-1,414000,22573,21578,995,32966,31971,995
-1,415000,23292,22096,1195,33846,32651,1195
-1,416000,23101,22066,1035,33646,32611,1035
-1,417000,23242,22127,1115,33806,32691,1115
-1,418000,23463,22188,1275,34046,32771,1275
-1,419000,23472,22158,1315,34046,32731,1315
-1,420000,23665,22310,1355,34286,32931,1355
-1,421000,23898,22462,1435,34566,33131,1435
-1,422000,23879,22444,1435,34526,33091,1435
-1,423000,23538,22499,1039,34210,33171,1039
-1,425000,23890,22609,1281,34612,33331,1281
-1,426000,23793,22592,1201,34492,33291,1201
-1,427000,23843,22722,1121,34612,33491,1121
-1,428000,23910,22784,1126,34697,33571,1126
-1,429000,23957,22831,1126,34777,33651,1126
-1,430000,24054,22948,1106,34957,33851,1106
-1,431000,23851,22925,926,34737,33811,926
-1,432000,23970,22972,998,34889,33891,998
-1,433000,24201,23059,1142,35113,33971,1142
-1,434000,23982,23114,868,34918,34051,868
-1,435000,24302,23252,1051,35302,34251,1051
-1,436000,24275,23224,1051,35262,34211,1051
-1,437000,24100,23289,811,35102,34291,811
-1,438000,24230,23339,891,35262,34371,891
-1,439000,24358,23467,891,35462,34571,891
-1,440000,24256,23445,811,35342,34531,811
-1,441000,24620,23489,1131,35742,34611,1131
-1,442000,24409,23518,891,35582,34691,891
-1,443000,24550,23498,1051,35702,34651,1051
-1,444000,24167,23596,571,35422,34851,571
-1,445000,24458,23647,811,35742,34931,811
-1,446000,24700,23730,971,36102,35131,971
-1,447000,24484,23713,771,35862,35091,771
-1,448000,25157,23746,1411,36582,35171,1411
-1,449000,24780,23800,980,36231,35251,980
-1,450000,24840,23826,1014,36344,35331,1014
-1,451000,24865,23813,1052,36343,35291,1052
-1,452000,25609,23917,1692,37303,35611,1692
-1,453000,25553,24021,1532,37463,35931,1532
-1,454000,25292,23964,1328,36979,35651,1328
-1,455000,25214,23994,1220,36951,35731,1220
-1,456000,25244,24024,1220,37031,35811,1220
-1,457000,25355,24099,1256,37267,36011,1256
-1,458000,25259,24039,1220,37071,35851,1220
-1,459000,25262,24114,1148,37199,36051,1148
-1,460000,25823,24099,1724,37735,36011,1724
-1,461000,25219,24143,1076,37167,36091,1076
-1,462000,25232,24228,1004,37295,36291,1004
-1,463000,25350,24262,1088,37459,36371,1088
-1,464000,25696,24296,1400,37851,36451,1400
-1,465000,25574,24330,1244,37775,36531,1244
-1,466000,25638,24194,1444,37655,36211,1444
-1,467000,25952,24468,1484,38295,36811,1484
-1,468000,25774,24450,1324,38095,36771,1324
-1,469000,25171,24487,684,37535,36851,684
-1,470000,24968,24524,444,37375,36931,444
